,pmid,gene,species,trait_name,trait_id,relation_type,evidence,method
0,37897039,TaLAX1,Triticum aestivum,in vitro regeneration ability,TO:0000243,Positive,overexpression of TaLAX1 markedly enhances regeneration efficiency,gene overexpression
1,37897039,TaGRF,Triticum aestivum,in vitro regeneration ability,TO:0000243,Positive,increased expression of TaGROWTH-REGULATING FACTOR (TaGRF) genes enhances cytokinin accumulation and auxin response,gene overexpression
2,37897039,TaGIF1,Triticum aestivum,in vitro regeneration ability,TO:0000243,Positive,"increased expression of TaGRF genes, alongside that of their co-factor, TaGIF1, enhances cytokinin accumulation and auxin response",gene overexpression
3,39062606,TaGOGAT,Triticum aestivum,nitrogen use efficiency,TO:0000506,Positive,the expression level of TaGOGATs and the enzyme activity of TaGOGAT3s in the leaves and roots of wheat seedlings were influenced by the treatment of N deficiency,gene expression analysis
4,37907517,TaGRAS,Triticum aestivum,abiotic stress tolerance,TO:0000164,Positive,a significant increase in the expression of TaGRAS genes during abiotic stress,RNA-seq data and qRT-PCR
5,37907517,TaGRAS27,Triticum aestivum,abiotic stress tolerance,TO:0000164,Positive,identified TaGRAS27 as a candidate gene for functional research to improve abiotic stress tolerance,molecular breeding
6,38002936,Yr72,Triticum aestivum,wheat stripe rust disease resistance,TO:0020055,Positive,"the stripe rust resistance gene carried by AUS27506 and AUS27894 was tentatively named YrAW4, later formally named Yr72",bulk segregant analysis
7,38923651,Snn1,Triticum spp.,wheat septoria leaf blotch disease resistance,TO:0020065,Positive,Snn1 encodes a wall-associated kinase that directly interacts with the NE SnTox1 leading to programmed cell death and ultimately the development of SNB.,sequence analysis
8,38177998,TaGGCT20,Triticum aestivum,Thousand-kernel weight,TO:0000442,Positive,"two haplotypes of TaGGCT20 gene displayed significantly different Thousand-kernel weight (TKW), Kernel length (KL), and Kernel width (KW) in wheat.",association analysis
9,38177998,TaGGCT20,Triticum aestivum,Kernel length,TO:0000442,Positive,two haplotypes of TaGGCT20 gene displayed significantly different Kernel length (KL) in wheat.,association analysis
10,38177998,TaGGCT20,Triticum aestivum,Kernel width,TO:0000442,Positive,two haplotypes of TaGGCT20 gene displayed significantly different Kernel width (KW) in wheat.,association analysis
11,38486454,TaZF-B1,Triticum aestivum,spike length,TO:0006030,Positive,"The functions of TaZF-B1, VRT-B2, and TaSPL15-A/D in establishment of wheat spike architecture were verified.",gene functional analysis
12,38486454,VRT-B2,Triticum aestivum,spikelet number per spike,TO:0006030,Positive,"The functions of TaZF-B1, VRT-B2, and TaSPL15-A/D in establishment of wheat spike architecture were verified.",gene functional analysis
13,38486454,TaSPL15-A/D,Triticum aestivum,grain number per spike,TO:0000440,Positive,"The functions of TaZF-B1, VRT-B2, and TaSPL15-A/D in establishment of wheat spike architecture were verified.",gene functional analysis
14,38552264,TaHsf-7A,Triticum aestivum,seed dormancy,TO:0000253,Positive,TaHsf-7A expression increased during seed dormancy establishment and subsequently declined during dormancy release.,expression analysis
15,38552264,TaHsf-7A,Triticum aestivum,germination rate,TO:0000430,Negative,the allele Hsf-7A-1319-ins correlated with a reduced seed germination rate and elevated dormancy levels.,allelic variation analysis
16,37689241,TaCIPK17,Triticum aestivum,drought tolerance,TO:0000276,Positive,Overexpression of TaCIPK17 enhanced antioxidant capacity and improved drought tolerance in wheat.,transgenic approaches
