,pmid,gene,species,trait_name,trait_id,relation_type,evidence,method
0,37897039,TaLAX1,Triticum aestivum,in vitro regeneration ability,TO:0000243,Positive,"overexpression of TaLAX PANICLE1 (TaLAX1), which markedly enhances regeneration efficiency",gene overexpression
1,37897039,TaGRF,Triticum aestivum,cytokinin accumulation,TO:0006016,Positive,increased expression of TaGROWTH-REGULATING FACTOR (TaGRF) genes... enhances cytokinin accumulation,gene overexpression
2,37897039,TaGIF1,Triticum aestivum,auxin response,TO:0006016,Positive,increased expression of... TaGRF-INTERACTING FACTOR 1 (TaGIF1)... enhances... auxin response,gene overexpression
3,39062606,TaGOGAT2s,Triticum aestivum,nitrogen use efficiency,TO:0000506,Positive,TaGOGAT2s were mainly expressed in wheat leaves and flag leaves,expression analysis
4,39062606,TaGOGAT3s,Triticum aestivum,nitrogen use efficiency,TO:0000506,Positive,TaGOGAT3s were highly expressed in roots and leaves... influenced by the treatment of N deficiency,expression analysis
5,37907517,TaGRAS,Triticum aestivum,abiotic stress tolerance,TO:0000168,Positive,a significant increase in the expression of TaGRAS genes during abiotic stress,RNA-seq and qRT-PCR analysis
6,37907517,TaGRAS27,Triticum aestivum,abiotic stress tolerance,TO:0000168,Positive,"identified TaGRAS27 as a candidate gene for functional research, and to improve abiotic stress tolerance",molecular dynamics modeling
7,38002936,Yr72,Triticum aestivum,wheat stripe rust disease resistance,TO:0020055,Positive,The stripe rust resistance gene carried by AUS27506 and AUS27894 was tentatively named YrAW4... formally named Yr72,genetic mapping
8,38923651,Snn1,Triticum aestivum,septoria nodorum blotch disease resistance,TO:0020065,Negative,Snn1... interacts with the NE SnTox1 leading to programmed cell death and ultimately the development of SNB,sequence analysis
9,38177998,TaGGCT20,Triticum aestivum,grain yield trait,TO:0000396,Positive,"Two haplotypes of TaGGCT20 gene displayed significantly different Thousand-kernel weight (TKW), Kernel length (KL), and Kernel width (KW)",association analysis
10,38177998,TaGGCT,Triticum aestivum,drought related trait,TO:0000394,Positive,Most TaGGCT genes were up-regulated after 6 h under 20% PEG6000 and ABA treatments,transcriptome data and RT-qPCR analysis
11,38486454,TaZF-B1,Triticum aestivum,inflorescence development trait,TO:0000621,Positive,The functions of TaZF-B1... in establishment of wheat spike architecture were verified,genome-wide association study and meta-QTL analyses
12,38486454,VRT-B2,Triticum aestivum,inflorescence development trait,TO:0000621,Positive,The functions of... VRT-B2... in establishment of wheat spike architecture were verified,genome-wide association study and meta-QTL analyses
13,38486454,TaSPL15-A/D,Triticum aestivum,inflorescence development trait,TO:0000621,Positive,The functions of... TaSPL15-A/D in establishment of wheat spike architecture were verified,genome-wide association study and meta-QTL analyses
14,38552264,TaHsf-7A,Triticum aestivum,seed dormancy,TO:0000253,Positive,TaHsf-7A expression increased during seed dormancy establishment and subsequently declined during dormancy release,expression analysis
15,38552264,TaHsf-7A,Triticum aestivum,percent germination,TO:0010001,Negative,allele Hsf-7A-1319-ins correlated with a reduced seed germination rate and elevated dormancy levels,CAPS marker analysis
16,37689241,TaCIPK17,Triticum aestivum,drought tolerance,TO:0000276,Positive,Overexpression of TaCIPK17 enhanced antioxidant capacity and improved drought tolerance in wheat,transgenic approaches
17,37661030,TaCHS3,Triticum aestivum,pollen fertility,TO:0000421,Positive,TaCHS3 showed anther-specific patterns and was positively co-expressed with sporopollenin biosynthetic genes,expression analysis
18,37661030,TaCHS10,Triticum aestivum,pollen fertility,TO:0000421,Positive,TaCHS10 showed anther-specific patterns and was positively co-expressed with sporopollenin biosynthetic genes,expression analysis
19,37661030,TaCHS67,Triticum aestivum,pollen fertility,TO:0000421,Positive,TaCHS67 showed anther-specific patterns and was positively co-expressed with sporopollenin biosynthetic genes,expression analysis
20,39069064,TaCAT2,Triticum aestivum,disease resistance,TO:0000439,Positive,Overexpression of TaCAT2 enhanced plant resistance to Phytophthora infestation and F. graminearum,overexpression and VIGS
21,39069064,TaCAT2,Triticum aestivum,drought tolerance,TO:0000276,Positive,"TaCAT2 was significantly up-regulated by NaCl, drought, and Fusarium graminearum infection",RT-qPCR analysis
22,38977976,QSS.sicau-2A,Triticum aestivum,spikelet number,TO:0000456,Positive,QTL QSS.sicau-2A related to SS trait were mapped on chromosome 2A,bulked segregant exome sequencing (BSE-Seq)
23,38977976,QSS.sicau-2D,Triticum aestivum,spikelet number,TO:0000456,Positive,QTL QSS.sicau-2D related to SS trait were mapped on chromosome 2D,bulked segregant exome sequencing (BSE-Seq)
24,38849110,TaPRR95,Triticum aestivum,plant height,TO:0000207,Positive,Triple allele mutant plants produced by CRISPR/Cas9 show increased plant height,CRISPR/Cas9 genome editing
25,38849110,TaPRR95,Triticum aestivum,days to heading,TO:0000137,Positive,Triple allele mutant plants... with an earlier heading date,CRISPR/Cas9 genome editing
26,38849110,TaPRR95-B Hap2,Triticum aestivum,grain yield per plant,TO:0000449,Positive,TaPRR95-B haplotype (Hap2) closely associated with reduced plant height and increased thousand-grain weight,haplotype analysis
27,37985582,TaSKP1-6B-4,Triticum aestivum,temperature response trait,TO:0000432,Positive,Higher fold induction of TaSKP1-6B-4 transcripts was recorded in flag leaf and ear head under terminal heat stress,transcript profiling
28,37956052,TaOMT24,Triticum aestivum,flavonoid content,TO:0000290,Positive,"Overexpressing the major effect gene of the cluster TraesCS2B01G460000 (TaOMT24), the pathway was reconstructed in rice",overexpression
29,38063491,TaBBE64,Triticum aestivum,fungal disease resistance,TO:0000439,Positive,"Knocking down TaBBE64 compromised wheat's Pst resistance, reducing reactive oxygen species and promoting fungal growth",RNA-seq and gene knockdown
30,38737737,TaCRK,Triticum aestivum,genic male sterility-thermo sensitive,TO:0000067,Positive,qRT-PCR validation of the six TaCRK genes showed that they play key roles in the development of the mononuclear stage anthers under heat stress,qRT-PCR analysis
31,39373738,TdFIP37,Triticum turgidum ssp. dicoccoides,salt tolerance,TO:0006001,Positive,The loss-function mutant of Tdfip37 displayed significantly higher salt-sensitive compared to WT,loss-of-function mutant analysis
32,38864777,TaAOS1-5B,Triticum aestivum,jasmonic acid content,TO:0002668,Positive,TaAOS1-5B was JA-responsive in leaves,gene-specific expression studies
33,38864777,TaJAMyb-4A,Triticum aestivum,jasmonic acid content,TO:0002668,Positive,TaJAMyb-4A was JA-responsive in leaves,gene-specific expression studies
34,38864777,TaWRKY45-B,Triticum aestivum,salicylic acid content,TO:0002668,Positive,TaWRKY45-B was a SA-responsive marker,gene-specific expression studies
35,38183904,TaTLP44,Triticum aestivum,wheat sharp eyespot disease resistance,TO:0000439,Negative,Gene silencing of TaTLP44 increased the expression of some defense-associated genes and improved resistance to R. cerealis,gene silencing
36,38671351,TaUBC25,Triticum aestivum,grain yield,TO:0000396,Positive,"TaUBC25-Hap II had significantly higher TKW, KL, KW, and KT than TaUBC25-Hap I",association analysis
37,39000115,TaSBP-A,Triticum aestivum,selenium content,TO:0006055,Positive,"TaSBP-A gene overexpression significantly increased plant height, number of spikelets, and number of grains in a spike in wheat",genetic transformation
